No.,変位計(1),荷重(1),移動量(1),変位計(2),荷重(2),移動量(2),変位計(3),荷重(3),移動量(3),変位計(4),荷重(4),移動量(4),変位計(5),荷重(5),移動量(5),変位計(6),荷重(6),移動量(6),変位計(7),荷重(7),移動量(7),変位計(8),荷重(8),移動量(8),変位計(9),荷重(9),移動量(9),変位計(10),荷重(10),移動量(10)
,mm,N,mm,mm,N,mm,mm,N,mm,mm,N,mm,mm,N,mm,mm,N,mm,mm,N,mm,mm,N,mm,mm,N,mm,mm,N,mm
1,0,0.13,0,0,0.14,0,0,0.15,0.01,0,0.12,0,0,0.11,0.01,0,0.12,0,0,0.1,0,0,0.1,0,0,0.12,0,0,0.1,0
2,0.006,0.28,0.03,0.003,0.18,0.01,0.003,0.17,0.02,0.005,0.15,0.01,0.003,0.13,0.01,0.003,0.22,0.03,0.003,0.17,0.02,0.002,0.14,0.01,0.003,0.17,0.02,0.002,0.13,0.01
3,0.009,0.32,0.03,0.007,0.23,0.02,0.006,0.3,0.09,0.007,0.23,0.04,0.006,0.18,0.02,0.007,0.28,0.04,0.005,0.23,0.03,0.004,0.17,0.02,0.005,0.2,0.02,0.004,0.15,0.02
4,0.014,0.42,0.05,0.011,0.27,0.03,0.009,0.31,0.09,0.01,0.33,0.08,0.01,0.28,0.04,0.009,0.33,0.05,0.008,0.29,0.04,0.006,0.18,0.03,0.01,0.27,0.04,0.007,0.17,0.03
5,0.018,0.48,0.06,0.014,0.31,0.04,0.011,0.36,0.11,0.012,0.34,0.09,0.014,0.32,0.05,0.012,0.4,0.07,0.011,0.36,0.06,0.008,0.27,0.06,0.013,0.31,0.05,0.01,0.19,0.04
6,0.02,0.53,0.07,0.017,0.35,0.05,0.014,0.41,0.12,0.014,0.42,0.13,0.017,0.39,0.06,0.015,0.48,0.09,0.013,0.4,0.07,0.012,0.32,0.09,0.016,0.37,0.07,0.012,0.21,0.04
7,0.023,0.58,0.08,0.022,0.39,0.06,0.016,0.44,0.13,0.019,0.47,0.15,0.02,0.42,0.07,0.017,0.51,0.09,0.016,0.42,0.07,0.015,0.33,0.09,0.02,0.44,0.08,0.015,0.26,0.06
8,0.028,0.64,0.1,0.028,0.46,0.08,0.018,0.46,0.13,0.022,0.55,0.17,0.024,0.5,0.09,0.019,0.54,0.1,0.018,0.49,0.09,0.017,0.38,0.11,0.024,0.48,0.09,0.018,0.29,0.07
9,0.032,0.68,0.1,0.032,0.49,0.09,0.02,0.49,0.14,0.027,0.6,0.18,0.029,0.53,0.09,0.022,0.62,0.12,0.021,0.52,0.09,0.02,0.41,0.12,0.028,0.5,0.1,0.023,0.34,0.08
10,0.036,0.72,0.11,0.034,0.52,0.09,0.022,0.53,0.15,0.03,0.65,0.19,0.032,0.58,0.11,0.026,0.67,0.13,0.025,0.62,0.11,0.022,0.47,0.13,0.034,0.57,0.12,0.028,0.37,0.08
11,0.04,0.76,0.12,0.038,0.57,0.1,0.026,0.58,0.17,0.033,0.68,0.19,0.035,0.61,0.11,0.03,0.71,0.14,0.029,0.65,0.12,0.025,0.51,0.14,0.037,0.6,0.12,0.035,0.42,0.09
12,0.044,0.8,0.12,0.041,0.6,0.11,0.029,0.6,0.17,0.043,0.71,0.2,0.038,0.66,0.12,0.036,0.76,0.15,0.033,0.7,0.13,0.03,0.57,0.15,0.041,0.63,0.13,0.041,0.5,0.1
13,0.048,0.85,0.13,0.047,0.63,0.12,0.031,0.63,0.18,0.046,0.8,0.21,0.042,0.7,0.13,0.038,0.82,0.15,0.037,0.75,0.13,0.036,0.62,0.16,0.05,0.67,0.14,0.046,0.57,0.1
14,0.053,0.9,0.14,0.05,0.67,0.12,0.034,0.73,0.21,0.052,0.87,0.22,0.045,0.74,0.15,0.043,0.9,0.16,0.042,0.81,0.14,0.04,0.68,0.17,0.055,0.72,0.15,0.05,0.65,0.11
15,0.061,0.96,0.14,0.054,0.7,0.13,0.04,0.78,0.22,0.055,0.94,0.22,0.05,0.78,0.15,0.05,1,0.17,0.052,0.88,0.15,0.042,0.71,0.18,0.064,0.77,0.15,0.058,0.73,0.12
16,0.064,1,0.15,0.058,0.74,0.14,0.042,0.8,0.23,0.062,1.01,0.23,0.056,0.81,0.16,0.058,1.07,0.18,0.055,0.96,0.15,0.05,0.82,0.2,0.071,0.84,0.16,0.063,0.81,0.12
17,0.073,1.06,0.16,0.06,0.78,0.15,0.045,0.83,0.23,0.067,1.09,0.24,0.063,0.88,0.17,0.063,1.15,0.18,0.061,1.02,0.16,0.053,0.86,0.21,0.08,0.91,0.17,0.071,0.89,0.13
18,0.077,1.12,0.16,0.064,0.81,0.15,0.049,0.86,0.24,0.073,1.17,0.24,0.068,0.93,0.18,0.068,1.22,0.19,0.067,1.1,0.17,0.055,0.9,0.22,0.087,0.99,0.17,0.074,0.97,0.14
19,0.084,1.2,0.17,0.069,0.86,0.16,0.056,0.91,0.25,0.079,1.25,0.25,0.072,0.98,0.18,0.076,1.34,0.2,0.074,1.18,0.17,0.059,0.95,0.23,0.095,1.08,0.18,0.08,1.05,0.14
20,0.092,1.27,0.18,0.072,0.9,0.17,0.06,0.97,0.25,0.085,1.32,0.26,0.078,1.03,0.19,0.081,1.42,0.2,0.08,1.26,0.18,0.062,0.99,0.24,0.101,1.15,0.19,0.086,1.14,0.15
21,0.098,1.35,0.18,0.076,0.93,0.18,0.064,1.03,0.26,0.088,1.4,0.26,0.083,1.07,0.2,0.088,1.5,0.21,0.085,1.34,0.19,0.066,1.03,0.25,0.112,1.23,0.19,0.095,1.22,0.16
22,0.104,1.44,0.19,0.08,0.97,0.18,0.07,1.09,0.27,0.094,1.52,0.27,0.086,1.12,0.2,0.095,1.58,0.22,0.091,1.43,0.19,0.069,1.07,0.25,0.116,1.32,0.2,0.1,1.3,0.16
23,0.11,1.53,0.2,0.083,1.01,0.19,0.075,1.16,0.27,0.102,1.6,0.28,0.09,1.18,0.21,0.1,1.66,0.22,0.097,1.51,0.2,0.074,1.11,0.26,0.125,1.41,0.21,0.107,1.38,0.17
24,0.118,1.59,0.2,0.09,1.05,0.2,0.082,1.24,0.28,0.106,1.66,0.28,0.095,1.25,0.22,0.106,1.74,0.23,0.102,1.59,0.2,0.08,1.15,0.27,0.132,1.48,0.21,0.112,1.47,0.17
25,0.123,1.68,0.21,0.094,1.09,0.2,0.088,1.32,0.29,0.113,1.75,0.29,0.102,1.31,0.23,0.111,1.82,0.24,0.107,1.67,0.21,0.085,1.24,0.27,0.138,1.56,0.22,0.118,1.55,0.18
26,0.128,1.79,0.22,0.102,1.13,0.21,0.093,1.39,0.29,0.116,1.84,0.3,0.108,1.38,0.23,0.118,1.9,0.24,0.114,1.75,0.22,0.089,1.31,0.28,0.142,1.64,0.23,0.123,1.63,0.19
27,0.134,1.87,0.22,0.107,1.19,0.22,0.1,1.47,0.3,0.122,1.95,0.31,0.115,1.45,0.24,0.125,2.03,0.25,0.119,1.83,0.22,0.095,1.38,0.29,0.147,1.73,0.23,0.13,1.71,0.19
